parcel_number,sale_date,minimum_bid,taxes_owed,interest_penalties,court_costs,attorney_fees,total_judgment,sale_status,constable_precinct,case_number
123-456-789,2025-09-01,5000,3500,800,400,300,5000,scheduled,1,2025-TX-12345
234-567-890,2025-09-01,7500,5200,1200,400,700,7500,scheduled,2,2025-TX-12346
345-678-901,2025-10-03,25000,18000,4000,500,2500,25000,scheduled,3,2025-TX-12347
456-789-012,2025-09-01,4200,3000,700,350,150,4200,scheduled,1,2025-TX-12348
567-890-123,2025-10-03,6800,4800,1100,400,500,6800,scheduled,4,2025-TX-12349
678-901-234,2025-11-07,15000,10000,3000,600,1400,15000,scheduled,5,2025-TX-12350
789-012-345,2025-09-01,8900,6200,1500,450,750,8900,scheduled,2,2025-TX-12351
890-123-456,2025-12-05,45000,32000,8000,800,4200,45000,scheduled,3,2025-TX-12352
901-234-567,2025-10-03,12000,8500,2000,500,1000,12000,scheduled,4,2025-TX-12353
012-345-678,2025-11-07,9500,6800,1600,450,650,9500,scheduled,1,2025-TX-12354